MeSH Headings	Freq	StartYear	EndYear	Database	TermType
PLATELET TRANSFUSION	1	1960	1969	MEDLINE-WOS	mesh
POLIOMYELITIS	1	1960	1969	MEDLINE-WOS	mesh
POLIOVIRUS VACCINE ORAL	1	1960	1969	MEDLINE-WOS	mesh
POPULATION SURVEILLANCE	1	1960	1969	MEDLINE-WOS	mesh
PREANESTHETIC MEDICATION	1	1960	1969	MEDLINE-WOS	mesh
PREVENTIVE MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
PROBABILITY	1	1960	1969	MEDLINE-WOS	mesh
PSYCHOANALYTIC THEORY	1	1960	1969	MEDLINE-WOS	mesh
PSYCHOLOGY APPLIED	1	1960	1969	MEDLINE-WOS	mesh
PSYCHOLOGY CHILD	1	1960	1969	MEDLINE-WOS	mesh
PSYCHOLOGY SOCIAL	1	1960	1969	MEDLINE-WOS	mesh
PSYCHOTIC DISORDERS	1	1960	1969	MEDLINE-WOS	mesh
PUBLIC HEALTH DENTISTRY	1	1960	1969	MEDLINE-WOS	mesh
PUBLIC OPINION	1	1960	1969	MEDLINE-WOS	mesh
PUBLIC POLICY	1	1960	1969	MEDLINE-WOS	mesh
QUACKERY	1	1960	1969	MEDLINE-WOS	mesh
RADIATION EFFECTS	1	1960	1969	MEDLINE-WOS	mesh
RADIATION GENETICS	1	1960	1969	MEDLINE-WOS	mesh
RED CROSS	1	1960	1969	MEDLINE-WOS	mesh
RELIGION AND MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
REPUBLIC OF BELARUS	1	1960	1969	MEDLINE-WOS	mesh
RESEARCH	1	1960	1969	MEDLINE-WOS	mesh
RESPIRATORY TRACT DISEASES	1	1960	1969	MEDLINE-WOS	mesh
REWARD	1	1960	1969	MEDLINE-WOS	mesh
RNA	1	1960	1969	MEDLINE-WOS	mesh
RNA MESSENGER	1	1960	1969	MEDLINE-WOS	mesh
RURAL HEALTH	1	1960	1969	MEDLINE-WOS	mesh
RURAL POPULATION	1	1960	1969	MEDLINE-WOS	mesh
RUSSIA	1	1960	1969	MEDLINE-WOS	mesh
SAMPLING STUDIES	1	1960	1969	MEDLINE-WOS	mesh
SANITATION	1	1960	1969	MEDLINE-WOS	mesh
SCHISTOSOMIASIS	1	1960	1969	MEDLINE-WOS	mesh
SCHOOLS	1	1960	1969	MEDLINE-WOS	mesh
SEROLOGIC TESTS	1	1960	1969	MEDLINE-WOS	mesh
SKIN NEOPLASMS	1	1960	1969	MEDLINE-WOS	mesh
SNAKE BITES	1	1960	1969	MEDLINE-WOS	mesh
SOCIAL CONTROL INFORMAL	1	1960	1969	MEDLINE-WOS	mesh
SOCIAL DISTANCE	1	1960	1969	MEDLINE-WOS	mesh
SOCIAL PROBLEMS	1	1960	1969	MEDLINE-WOS	mesh
SOCIAL WELFARE	1	1960	1969	MEDLINE-WOS	mesh
SOCIAL WORK	1	1960	1969	MEDLINE-WOS	mesh
SOCIOLOGY	1	1960	1969	MEDLINE-WOS	mesh
SOUTH AMERICA	1	1960	1969	MEDLINE-WOS	mesh
SPORTS	1	1960	1969	MEDLINE-WOS	mesh
STERILIZATION	1	1960	1969	MEDLINE-WOS	mesh
STERILIZATION REPRODUCTIVE	1	1960	1969	MEDLINE-WOS	mesh
STOMACH NEOPLASMS	1	1960	1969	MEDLINE-WOS	mesh
STUDENTS	1	1960	1969	MEDLINE-WOS	mesh
SUGGESTION	1	1960	1969	MEDLINE-WOS	mesh
TELEVISION	1	1960	1969	MEDLINE-WOS	mesh
THERAPEUTICS	1	1960	1969	MEDLINE-WOS	mesh
TONGUE NEOPLASMS	1	1960	1969	MEDLINE-WOS	mesh
TRICLOSAN	1	1960	1969	MEDLINE-WOS	mesh
UKRAINE	1	1960	1969	MEDLINE-WOS	mesh
UNCONSCIOUS PSYCHOLOGY	1	1960	1969	MEDLINE-WOS	mesh
UNITED KINGDOM	1	1960	1969	MEDLINE-WOS	mesh
UNIVERSITIES	1	1960	1969	MEDLINE-WOS	mesh
UTOPIAS	1	1960	1969	MEDLINE-WOS	mesh
UZBEKISTAN	1	1960	1969	MEDLINE-WOS	mesh
VACCINATION	1	1960	1969	MEDLINE-WOS	mesh
VETERINARY MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
VIETNAM	1	1960	1969	MEDLINE-WOS	mesh
WARFARE	1	1960	1969	MEDLINE-WOS	mesh
WATER POLLUTION	1	1960	1969	MEDLINE-WOS	mesh
WORLD HEALTH ORGANIZATION	1	1960	1969	MEDLINE-WOS	mesh
HUMANS	138	1970	1979	MEDLINE-WOS	mesh
PROPAGANDA	90	1970	1979	MEDLINE-WOS	mesh
HEALTH EDUCATION	65	1970	1979	MEDLINE-WOS	mesh
FEMALE	44	1970	1979	MEDLINE-WOS	mesh
MALE	36	1970	1979	MEDLINE-WOS	mesh
FAMILY PLANNING SERVICES	32	1970	1979	MEDLINE-WOS	mesh
ADULT	30	1970	1979	MEDLINE-WOS	mesh
ADOLESCENT	24	1970	1979	MEDLINE-WOS	mesh
USSR	23	1970	1979	MEDLINE-WOS	mesh
UNITED STATES	19	1970	1979	MEDLINE-WOS	mesh
DEVELOPING COUNTRIES	17	1970	1979	MEDLINE-WOS	mesh
ALCOHOLISM	16	1970	1979	MEDLINE-WOS	mesh
COMMUNICATION	16	1970	1979	MEDLINE-WOS	mesh
CHILD	15	1970	1979	MEDLINE-WOS	mesh
MIDDLE AGED	15	1970	1979	MEDLINE-WOS	mesh
SMOKING	15	1970	1979	MEDLINE-WOS	mesh
SMOKING PREVENTION	13	1970	1979	MEDLINE-WOS	mesh
AGED	12	1970	1979	MEDLINE-WOS	mesh
ASIA	12	1970	1979	MEDLINE-WOS	mesh
HISTORY 20TH CENTURY	12	1970	1979	MEDLINE-WOS	mesh
PREGNANCY	12	1970	1979	MEDLINE-WOS	mesh
ADVERTISING AS TOPIC	11	1970	1979	MEDLINE-WOS	mesh
ATTITUDE TO HEALTH	11	1970	1979	MEDLINE-WOS	mesh
CHINA	10	1970	1979	MEDLINE-WOS	mesh
CONTRACEPTION	10	1970	1979	MEDLINE-WOS	mesh
ANIMALS	9	1970	1979	MEDLINE-WOS	mesh
DEMOGRAPHY	9	1970	1979	MEDLINE-WOS	mesh
HEALTH PLANNING	9	1970	1979	MEDLINE-WOS	mesh
MOTIVATION	9	1970	1979	MEDLINE-WOS	mesh
SEXUALLY TRANSMITTED DISEASES	9	1970	1979	MEDLINE-WOS	mesh
ABORTION INDUCED	8	1970	1979	MEDLINE-WOS	mesh
AGE FACTORS	8	1970	1979	MEDLINE-WOS	mesh
DRUG AND NARCOTIC CONTROL	8	1970	1979	MEDLINE-WOS	mesh
HISTORY 19TH CENTURY	8	1970	1979	MEDLINE-WOS	mesh
INDIA	8	1970	1979	MEDLINE-WOS	mesh
RESEARCH	8	1970	1979	MEDLINE-WOS	mesh
TELEVISION	8	1970	1979	MEDLINE-WOS	mesh
BEHAVIOR	7	1970	1979	MEDLINE-WOS	mesh
COMMUNISM	7	1970	1979	MEDLINE-WOS	mesh
ECONOMICS	7	1970	1979	MEDLINE-WOS	mesh
POLITICS	7	1970	1979	MEDLINE-WOS	mesh
POPULATION	7	1970	1979	MEDLINE-WOS	mesh
POPULATION CONTROL	7	1970	1979	MEDLINE-WOS	mesh
PUBLIC HEALTH	7	1970	1979	MEDLINE-WOS	mesh
PUBLIC OPINION	7	1970	1979	MEDLINE-WOS	mesh
PUBLIC POLICY	7	1970	1979	MEDLINE-WOS	mesh
SEX EDUCATION	7	1970	1979	MEDLINE-WOS	mesh
UNITED KINGDOM	7	1970	1979	MEDLINE-WOS	mesh
ATTITUDE	6	1970	1979	MEDLINE-WOS	mesh
DRUG INDUSTRY	6	1970	1979	MEDLINE-WOS	mesh
EDUCATION	6	1970	1979	MEDLINE-WOS	mesh
FAR EAST	6	1970	1979	MEDLINE-WOS	mesh
INTERNATIONAL COOPERATION	6	1970	1979	MEDLINE-WOS	mesh
LEGISLATION AS TOPIC	6	1970	1979	MEDLINE-WOS	mesh
MARRIAGE	6	1970	1979	MEDLINE-WOS	mesh
MENTAL DISORDERS	6	1970	1979	MEDLINE-WOS	mesh
OCCUPATIONAL MEDICINE	6	1970	1979	MEDLINE-WOS	mesh
POPULATION CHARACTERISTICS	6	1970	1979	MEDLINE-WOS	mesh
RUSSIA	6	1970	1979	MEDLINE-WOS	mesh
SOCIOECONOMIC FACTORS	6	1970	1979	MEDLINE-WOS	mesh
ASIA SOUTHEASTERN	5	1970	1979	MEDLINE-WOS	mesh
CANNABIS	5	1970	1979	MEDLINE-WOS	mesh
CONTRACEPTIVES ORAL	5	1970	1979	MEDLINE-WOS	mesh
DISEASE	5	1970	1979	MEDLINE-WOS	mesh
EMOTIONS	5	1970	1979	MEDLINE-WOS	mesh
FRANCE	5	1970	1979	MEDLINE-WOS	mesh
HEALTH	5	1970	1979	MEDLINE-WOS	mesh
HEALTH EDUCATION DENTAL	5	1970	1979	MEDLINE-WOS	mesh
HEALTH KNOWLEDGE ATTITUDES PRACTICE	5	1970	1979	MEDLINE-WOS	mesh
LEGISLATION DRUG	5	1970	1979	MEDLINE-WOS	mesh
MASS MEDIA	5	1970	1979	MEDLINE-WOS	mesh
MILITARY MEDICINE	5	1970	1979	MEDLINE-WOS	mesh
PERIODICALS AS TOPIC	5	1970	1979	MEDLINE-WOS	mesh
PERSONALITY	5	1970	1979	MEDLINE-WOS	mesh
POPULATION DYNAMICS	5	1970	1979	MEDLINE-WOS	mesh
POPULATION GROWTH	5	1970	1979	MEDLINE-WOS	mesh
RISK	5	1970	1979	MEDLINE-WOS	mesh
RURAL POPULATION	5	1970	1979	MEDLINE-WOS	mesh
SUBSTANCE RELATED DISORDERS	5	1970	1979	MEDLINE-WOS	mesh
TIME FACTORS	5	1970	1979	MEDLINE-WOS	mesh
UKRAINE	5	1970	1979	MEDLINE-WOS	mesh
COUNSELING	4	1970	1979	MEDLINE-WOS	mesh
DECISION MAKING	4	1970	1979	MEDLINE-WOS	mesh
DELIVERY OF HEALTH CARE	4	1970	1979	MEDLINE-WOS	mesh
ENGLAND	4	1970	1979	MEDLINE-WOS	mesh
EUROPE	4	1970	1979	MEDLINE-WOS	mesh
FERTILITY	4	1970	1979	MEDLINE-WOS	mesh
GERMANY WEST	4	1970	1979	MEDLINE-WOS	mesh
HISTORY MODERN 1601	4	1970	1979	MEDLINE-WOS	mesh
INFANT	4	1970	1979	MEDLINE-WOS	mesh
INTRAUTERINE DEVICES	4	1970	1979	MEDLINE-WOS	mesh
LIFE STYLE	4	1970	1979	MEDLINE-WOS	mesh
MOTION PICTURES	4	1970	1979	MEDLINE-WOS	mesh
PREJUDICE	4	1970	1979	MEDLINE-WOS	mesh
PREVENTIVE MEDICINE	4	1970	1979	MEDLINE-WOS	mesh
PSYCHIATRY	4	1970	1979	MEDLINE-WOS	mesh
PSYCHOLOGY	4	1970	1979	MEDLINE-WOS	mesh
SOCIAL BEHAVIOR	4	1970	1979	MEDLINE-WOS	mesh
SOCIAL CHANGE	4	1970	1979	MEDLINE-WOS	mesh
STERILIZATION REPRODUCTIVE	4	1970	1979	MEDLINE-WOS	mesh
SWITZERLAND	4	1970	1979	MEDLINE-WOS	mesh
UNITED STATES FOOD AND DRUG ADMINISTRATION	4	1970	1979	MEDLINE-WOS	mesh
VETERINARY MEDICINE	4	1970	1979	MEDLINE-WOS	mesh
ACCIDENT PREVENTION	3	1970	1979	MEDLINE-WOS	mesh
ACCIDENTS TRAFFIC	3	1970	1979	MEDLINE-WOS	mesh
AFRICA	3	1970	1979	MEDLINE-WOS	mesh
ALCOHOL DRINKING	3	1970	1979	MEDLINE-WOS	mesh
ALCOHOLIC INTOXICATION	3	1970	1979	MEDLINE-WOS	mesh
BIRTH RATE	3	1970	1979	MEDLINE-WOS	mesh
BLOOD DONORS	3	1970	1979	MEDLINE-WOS	mesh
CARBON MONOXIDE	3	1970	1979	MEDLINE-WOS	mesh
CHILD PRESCHOOL	3	1970	1979	MEDLINE-WOS	mesh
COMMUNITY HEALTH WORKERS	3	1970	1979	MEDLINE-WOS	mesh
CONGRESSES AS TOPIC	3	1970	1979	MEDLINE-WOS	mesh
CONSUMER BEHAVIOR	3	1970	1979	MEDLINE-WOS	mesh
CRIMINAL PSYCHOLOGY	3	1970	1979	MEDLINE-WOS	mesh
CULTURE	3	1970	1979	MEDLINE-WOS	mesh
DEVELOPED COUNTRIES	3	1970	1979	MEDLINE-WOS	mesh
ETHICS MEDICAL	3	1970	1979	MEDLINE-WOS	mesh
ETHNIC GROUPS	3	1970	1979	MEDLINE-WOS	mesh
EVALUATION STUDIES AS TOPIC	3	1970	1979	MEDLINE-WOS	mesh
FAMILY CHARACTERISTICS	3	1970	1979	MEDLINE-WOS	mesh
GERMANY	3	1970	1979	MEDLINE-WOS	mesh
HEALTH SERVICES	3	1970	1979	MEDLINE-WOS	mesh
HYGIENE	3	1970	1979	MEDLINE-WOS	mesh
INFANT NEWBORN	3	1970	1979	MEDLINE-WOS	mesh
INFORMATION SERVICES	3	1970	1979	MEDLINE-WOS	mesh
JURISPRUDENCE	3	1970	1979	MEDLINE-WOS	mesh
LEGISLATION MEDICAL	3	1970	1979	MEDLINE-WOS	mesh
MASS SCREENING	3	1970	1979	MEDLINE-WOS	mesh
MEDICINE	3	1970	1979	MEDLINE-WOS	mesh
MENTAL HEALTH SERVICES	3	1970	1979	MEDLINE-WOS	mesh
NEW ZEALAND	3	1970	1979	MEDLINE-WOS	mesh
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	3	1970	1979	MEDLINE-WOS	mesh
OCCUPATIONAL DISEASES	3	1970	1979	MEDLINE-WOS	mesh
ORGANIZATION AND ADMINISTRATION	3	1970	1979	MEDLINE-WOS	mesh
ORGANIZATIONS	3	1970	1979	MEDLINE-WOS	mesh
PARENTS	3	1970	1979	MEDLINE-WOS	mesh
PHARMACEUTICAL PREPARATIONS	3	1970	1979	MEDLINE-WOS	mesh
POLAND	3	1970	1979	MEDLINE-WOS	mesh
PUBLIC HEALTH ADMINISTRATION	3	1970	1979	MEDLINE-WOS	mesh
PUBLISHING	3	1970	1979	MEDLINE-WOS	mesh
REFERRAL AND CONSULTATION	3	1970	1979	MEDLINE-WOS	mesh
SEX FACTORS	3	1970	1979	MEDLINE-WOS	mesh
URBAN POPULATION	3	1970	1979	MEDLINE-WOS	mesh
ACCIDENTS	2	1970	1979	MEDLINE-WOS	mesh
ACCIDENTS OCCUPATIONAL	2	1970	1979	MEDLINE-WOS	mesh
AFRICA NORTHERN	2	1970	1979	MEDLINE-WOS	mesh
AMERICAS	2	1970	1979	MEDLINE-WOS	mesh
ANXIETY	2	1970	1979	MEDLINE-WOS	mesh
ATTITUDE OF HEALTH PERSONNEL	2	1970	1979	MEDLINE-WOS	mesh
BELGIUM	2	1970	1979	MEDLINE-WOS	mesh
BLOOD BANKS	2	1970	1979	MEDLINE-WOS	mesh
BLOOD PRESSURE DETERMINATION	2	1970	1979	MEDLINE-WOS	mesh
COMMUNITY PARTICIPATION	2	1970	1979	MEDLINE-WOS	mesh
CONFLICT PSYCHOLOGY	2	1970	1979	MEDLINE-WOS	mesh
CONTRACEPTION BEHAVIOR	2	1970	1979	MEDLINE-WOS	mesh
CONTRACEPTIVE DEVICES	2	1970	1979	MEDLINE-WOS	mesh
CZECHOSLOVAKIA	2	1970	1979	MEDLINE-WOS	mesh
DEAFNESS	2	1970	1979	MEDLINE-WOS	mesh
DRUG PRESCRIPTIONS	2	1970	1979	MEDLINE-WOS	mesh
ECONOMICS HOSPITAL	2	1970	1979	MEDLINE-WOS	mesh
EDUCATION VETERINARY	2	1970	1979	MEDLINE-WOS	mesh
EDUCATIONAL STATUS	2	1970	1979	MEDLINE-WOS	mesh
ELECTROCARDIOGRAPHY	2	1970	1979	MEDLINE-WOS	mesh
ENVIRONMENT	2	1970	1979	MEDLINE-WOS	mesh
ETHICS	2	1970	1979	MEDLINE-WOS	mesh
FAMILY	2	1970	1979	MEDLINE-WOS	mesh
FAMILY PRACTICE	2	1970	1979	MEDLINE-WOS	mesh
FEAR	2	1970	1979	MEDLINE-WOS	mesh
FINANCING GOVERNMENT	2	1970	1979	MEDLINE-WOS	mesh
FINANCING ORGANIZED	2	1970	1979	MEDLINE-WOS	mesh
FOLLOW UP STUDIES	2	1970	1979	MEDLINE-WOS	mesh
GERMANY EAST	2	1970	1979	MEDLINE-WOS	mesh
GONORRHEA	2	1970	1979	MEDLINE-WOS	mesh
GOVERNMENT	2	1970	1979	MEDLINE-WOS	mesh
HEALTH PERSONNEL	2	1970	1979	MEDLINE-WOS	mesh
HEALTH PROMOTION	2	1970	1979	MEDLINE-WOS	mesh
HEART BLOCK	2	1970	1979	MEDLINE-WOS	mesh
HOSPITALS	2	1970	1979	MEDLINE-WOS	mesh
HYPERTENSION	2	1970	1979	MEDLINE-WOS	mesh
INFERTILITY	2	1970	1979	MEDLINE-WOS	mesh
INTERPERSONAL RELATIONS	2	1970	1979	MEDLINE-WOS	mesh
JUDICIAL ROLE	2	1970	1979	MEDLINE-WOS	mesh
LATIN AMERICA	2	1970	1979	MEDLINE-WOS	mesh
LIFE EXPECTANCY	2	1970	1979	MEDLINE-WOS	mesh
LONDON	2	1970	1979	MEDLINE-WOS	mesh
LYSERGIC ACID DIETHYLAMIDE	2	1970	1979	MEDLINE-WOS	mesh
MARKETING OF HEALTH SERVICES	2	1970	1979	MEDLINE-WOS	mesh
MATHEMATICS	2	1970	1979	MEDLINE-WOS	mesh
MEDICAL STAFF HOSPITAL	2	1970	1979	MEDLINE-WOS	mesh
MENTAL HEALTH	2	1970	1979	MEDLINE-WOS	mesh
MIDDLE EAST	2	1970	1979	MEDLINE-WOS	mesh
MILITARY PERSONNEL	2	1970	1979	MEDLINE-WOS	mesh
MODELS THEORETICAL	2	1970	1979	MEDLINE-WOS	mesh
MUTAGENS	2	1970	1979	MEDLINE-WOS	mesh
MYOCARDIAL INFARCTION	2	1970	1979	MEDLINE-WOS	mesh
NETHERLANDS	2	1970	1979	MEDLINE-WOS	mesh
NICOTINE	2	1970	1979	MEDLINE-WOS	mesh
NONPRESCRIPTION DRUGS	2	1970	1979	MEDLINE-WOS	mesh
NORTH AMERICA	2	1970	1979	MEDLINE-WOS	mesh
NURSING	2	1970	1979	MEDLINE-WOS	mesh
OCCUPATIONAL HEALTH SERVICES	2	1970	1979	MEDLINE-WOS	mesh
OCCUPATIONS	2	1970	1979	MEDLINE-WOS	mesh
ORAL HEALTH	2	1970	1979	MEDLINE-WOS	mesh
ORTHODONTICS	2	1970	1979	MEDLINE-WOS	mesh
PAMPHLETS	2	1970	1979	MEDLINE-WOS	mesh
PERSUASIVE COMMUNICATION	2	1970	1979	MEDLINE-WOS	mesh
PHARMACIES	2	1970	1979	MEDLINE-WOS	mesh
PHILIPPINES	2	1970	1979	MEDLINE-WOS	mesh
PHYSICAL EDUCATION AND TRAINING	2	1970	1979	MEDLINE-WOS	mesh
PHYSICIAN PATIENT RELATIONS	2	1970	1979	MEDLINE-WOS	mesh
PLANTS TOXIC	2	1970	1979	MEDLINE-WOS	mesh
POISONING	2	1970	1979	MEDLINE-WOS	mesh
PREGNANCY COMPLICATIONS	2	1970	1979	MEDLINE-WOS	mesh
PREGNANCY UNWANTED	2	1970	1979	MEDLINE-WOS	mesh
PSYCHOANALYTIC THEORY	2	1970	1979	MEDLINE-WOS	mesh
PUBLIC SECTOR	2	1970	1979	MEDLINE-WOS	mesh
RADIO	2	1970	1979	MEDLINE-WOS	mesh
RELIGION	2	1970	1979	MEDLINE-WOS	mesh
REPRODUCTION	2	1970	1979	MEDLINE-WOS	mesh
REST	2	1970	1979	MEDLINE-WOS	mesh
RURAL HEALTH	2	1970	1979	MEDLINE-WOS	mesh
SCHIZOPHRENIA	2	1970	1979	MEDLINE-WOS	mesh
SCHOOL DENTISTRY	2	1970	1979	MEDLINE-WOS	mesh
SCHOOL HEALTH SERVICES	2	1970	1979	MEDLINE-WOS	mesh
SCIENCE	2	1970	1979	MEDLINE-WOS	mesh
SEXUAL BEHAVIOR	2	1970	1979	MEDLINE-WOS	mesh
SMOKE	2	1970	1979	MEDLINE-WOS	mesh
SOCIAL CONTROL FORMAL	2	1970	1979	MEDLINE-WOS	mesh
SOCIAL PLANNING	2	1970	1979	MEDLINE-WOS	mesh
SOCIAL VALUES	2	1970	1979	MEDLINE-WOS	mesh
SOUTH AFRICA	2	1970	1979	MEDLINE-WOS	mesh
SPECIALIZATION	2	1970	1979	MEDLINE-WOS	mesh
TEACHING	2	1970	1979	MEDLINE-WOS	mesh
TERATOGENS	2	1970	1979	MEDLINE-WOS	mesh
TOBACCO	2	1970	1979	MEDLINE-WOS	mesh
VACCINATION	2	1970	1979	MEDLINE-WOS	mesh
VIETNAM	2	1970	1979	MEDLINE-WOS	mesh
WOMEN S RIGHTS	2	1970	1979	MEDLINE-WOS	mesh
YUGOSLAVIA	2	1970	1979	MEDLINE-WOS	mesh
ABDOMEN ACUTE	1	1970	1979	MEDLINE-WOS	mesh
ABORTION APPLICANTS	1	1970	1979	MEDLINE-WOS	mesh
ABORTION CRIMINAL	1	1970	1979	MEDLINE-WOS	mesh
ABORTION LEGAL	1	1970	1979	MEDLINE-WOS	mesh
ABORTION SEPTIC	1	1970	1979	MEDLINE-WOS	mesh
ABSENTEEISM	1	1970	1979	MEDLINE-WOS	mesh
ACADEMIES AND INSTITUTES	1	1970	1979	MEDLINE-WOS	mesh
ACCIDENTS HOME	1	1970	1979	MEDLINE-WOS	mesh
ACCOMMODATION OCULAR	1	1970	1979	MEDLINE-WOS	mesh
ACETATES	1	1970	1979	MEDLINE-WOS	mesh
ADENOVIRIDAE	1	1970	1979	MEDLINE-WOS	mesh
ADJUSTMENT DISORDERS	1	1970	1979	MEDLINE-WOS	mesh
ADMINISTRATIVE PERSONNEL	1	1970	1979	MEDLINE-WOS	mesh
ADOPTION	1	1970	1979	MEDLINE-WOS	mesh
ADRENAL GLANDS	1	1970	1979	MEDLINE-WOS	mesh
AFRICA EASTERN	1	1970	1979	MEDLINE-WOS	mesh
AFRICA SOUTH OF THE SAHARA	1	1970	1979	MEDLINE-WOS	mesh
AGING	1	1970	1979	MEDLINE-WOS	mesh
AIR POLLUTION	1	1970	1979	MEDLINE-WOS	mesh
AIRCRAFT	1	1970	1979	MEDLINE-WOS	mesh
ALGERIA	1	1970	1979	MEDLINE-WOS	mesh
ALLIED HEALTH PERSONNEL	1	1970	1979	MEDLINE-WOS	mesh
AMBULATORY CARE	1	1970	1979	MEDLINE-WOS	mesh
AMBULATORY CARE FACILITIES	1	1970	1979	MEDLINE-WOS	mesh
AMERICAN MEDICAL ASSOCIATION	1	1970	1979	MEDLINE-WOS	mesh
AMNESIA	1	1970	1979	MEDLINE-WOS	mesh
AMPHETAMINE	1	1970	1979	MEDLINE-WOS	mesh
ANIMAL COMMUNICATION	1	1970	1979	MEDLINE-WOS	mesh
ANIMAL HUSBANDRY	1	1970	1979	MEDLINE-WOS	mesh
ANIMALS LABORATORY	1	1970	1979	MEDLINE-WOS	mesh
ANTS	1	1970	1979	MEDLINE-WOS	mesh
ANXIETY DISORDERS	1	1970	1979	MEDLINE-WOS	mesh
ARGENTINA	1	1970	1979	MEDLINE-WOS	mesh
ARRHYTHMIAS CARDIAC	1	1970	1979	MEDLINE-WOS	mesh
ARTERIOSCLEROSIS	1	1970	1979	MEDLINE-WOS	mesh
ASCORBIC ACID	1	1970	1979	MEDLINE-WOS	mesh
ATTITUDE TO DEATH	1	1970	1979	MEDLINE-WOS	mesh
AUDIOMETRY	1	1970	1979	MEDLINE-WOS	mesh
AUDIOVISUAL AIDS	1	1970	1979	MEDLINE-WOS	mesh
AUSTRALIA	1	1970	1979	MEDLINE-WOS	mesh
AWARENESS	1	1970	1979	MEDLINE-WOS	mesh
BACTERIOLOGICAL TECHNIQUES	1	1970	1979	MEDLINE-WOS	mesh
BEAUTY CULTURE	1	1970	1979	MEDLINE-WOS	mesh
BEHAVIOR ANIMAL	1	1970	1979	MEDLINE-WOS	mesh
BEHAVIOR THERAPY	1	1970	1979	MEDLINE-WOS	mesh
BIOFEEDBACK PSYCHOLOGY	1	1970	1979	MEDLINE-WOS	mesh
BIOLOGICAL AVAILABILITY	1	1970	1979	MEDLINE-WOS	mesh
BIOLOGICAL EVOLUTION	1	1970	1979	MEDLINE-WOS	mesh
BIOPHARMACEUTICS	1	1970	1979	MEDLINE-WOS	mesh
BIRTH WEIGHT	1	1970	1979	MEDLINE-WOS	mesh
BLOOD PRESERVATION	1	1970	1979	MEDLINE-WOS	mesh
BLOOD TRANSFUSION	1	1970	1979	MEDLINE-WOS	mesh
BONE AND BONES	1	1970	1979	MEDLINE-WOS	mesh
BOOKS	1	1970	1979	MEDLINE-WOS	mesh
BOTTLE FEEDING	1	1970	1979	MEDLINE-WOS	mesh
BRAIN	1	1970	1979	MEDLINE-WOS	mesh
BRAIN CONCUSSION	1	1970	1979	MEDLINE-WOS	mesh
BRAIN DAMAGE CHRONIC	1	1970	1979	MEDLINE-WOS	mesh
BRONCHIAL NEOPLASMS	1	1970	1979	MEDLINE-WOS	mesh
BRONCHITIS	1	1970	1979	MEDLINE-WOS	mesh
CALIFORNIA	1	1970	1979	MEDLINE-WOS	mesh
CAPSULES	1	1970	1979	MEDLINE-WOS	mesh
CARCINOGENS	1	1970	1979	MEDLINE-WOS	mesh
CARICATURES AS TOPIC	1	1970	1979	MEDLINE-WOS	mesh
CARRIER STATE	1	1970	1979	MEDLINE-WOS	mesh
CARTOONS AS TOPIC	1	1970	1979	MEDLINE-WOS	mesh
CATALOGS DRUG	1	1970	1979	MEDLINE-WOS	mesh
CATARACT	1	1970	1979	MEDLINE-WOS	mesh
CATECHOLAMINES	1	1970	1979	MEDLINE-WOS	mesh
CATHOLICISM	1	1970	1979	MEDLINE-WOS	mesh
CATTLE	1	1970	1979	MEDLINE-WOS	mesh
CELL TRANSFORMATION NEOPLASTIC	1	1970	1979	MEDLINE-WOS	mesh
CEREBRAL CORTEX	1	1970	1979	MEDLINE-WOS	mesh
CHILD BEHAVIOR	1	1970	1979	MEDLINE-WOS	mesh
CHILD NUTRITIONAL PHYSIOLOGICAL PHENOMENA	1	1970	1979	MEDLINE-WOS	mesh
CHILD WELFARE	1	1970	1979	MEDLINE-WOS	mesh
CHOLESTEATOMA	1	1970	1979	MEDLINE-WOS	mesh
CHOLESTEROL	1	1970	1979	MEDLINE-WOS	mesh
CHORIONIC GONADOTROPIN	1	1970	1979	MEDLINE-WOS	mesh
CHROMATOGRAPHY GAS	1	1970	1979	MEDLINE-WOS	mesh
CHRONIC DISEASE	1	1970	1979	MEDLINE-WOS	mesh
CINERADIOGRAPHY	1	1970	1979	MEDLINE-WOS	mesh
CLIMACTERIC	1	1970	1979	MEDLINE-WOS	mesh
CLINICAL TRIALS AS TOPIC	1	1970	1979	MEDLINE-WOS	mesh
CLOFIBRATE	1	1970	1979	MEDLINE-WOS	mesh
CLOTHING	1	1970	1979	MEDLINE-WOS	mesh
COGNITION	1	1970	1979	MEDLINE-WOS	mesh
COMMERCE	1	1970	1979	MEDLINE-WOS	mesh
COMMON COLD	1	1970	1979	MEDLINE-WOS	mesh
COMMUNITY HEALTH SERVICES	1	1970	1979	MEDLINE-WOS	mesh
COMMUNITY INSTITUTIONAL RELATIONS	1	1970	1979	MEDLINE-WOS	mesh
COMMUNITY MENTAL HEALTH SERVICES	1	1970	1979	MEDLINE-WOS	mesh
COMPLEMENTARY THERAPIES	1	1970	1979	MEDLINE-WOS	mesh
COMPREHENSIVE HEALTH CARE	1	1970	1979	MEDLINE-WOS	mesh
COMPUTERS	1	1970	1979	MEDLINE-WOS	mesh
